,City,Latitude,Longitude,Temperature (F),Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
408,Imbituba,-28.24,-48.6703,64.85,64.85,94,100,8.86
409,Lorengau,-2.0226,147.2712,80.92,80.92,80,22,3.56
410,Jiwani,25.05,61.7417,86.5,86.5,57,0,15.66
411,Santa Inês,-3.6667,-45.38,82.33,82.33,84,99,3.15
412,Provideniya,64.3833,-173.3,24.94,24.94,44,67,1.16
414,Yaan,7.3833,8.5667,82.47,82.47,66,35,11.1
415,Marsh Harbour,26.5412,-77.0636,76.95,76.95,68,45,16.35
416,Marawi,7.9986,124.2928,69.37,69.37,94,100,1.66
417,Kodīnar,20.7903,70.7031,82.29,82.29,80,0,13.87
418,Santa Isabel Rio Negro,-0.4139,-65.0192,90.23,90.23,51,86,2.06
419,Lučenec,48.3325,19.6671,56.59,57.27,88,83,1.99
420,Alpena,45.0617,-83.4327,55.71,55.72,67,100,8.05
421,Tondano,1.3038,124.9112,69.89,69.89,94,38,1.21
422,Maceió,-9.6658,-35.7353,76.44,76.44,94,100,4.61
423,Svarstad,59.399,9.9698,50.43,54.37,40,13,5.01
424,Soyo,-6.1349,12.3689,78.48,78.48,87,56,4.68
425,Morondava,-20.2833,44.2833,77.76,77.76,69,0,11.12
426,Novy Urengoy,66.0833,76.6333,11.52,11.52,96,100,4.32
427,Manzhouli,49.6,117.4333,52.79,52.79,41,97,5.23
428,Takoradze,4.8845,-1.7554,81.43,81.43,79,100,9.1
429,Toamasina,-18.1667,49.3833,73.78,73.78,91,53,9.17
430,Comodoro Rivadavia,-45.8667,-67.5,58.86,58.86,38,0,13.8
432,Iturama,-19.7281,-50.1956,90.14,90.14,25,19,5.57
433,Lázně Bělohrad,50.4287,15.5827,54.52,58.17,80,27,4.5
434,Cabo San Lucas,22.8909,-109.9124,77.43,83.61,50,20,11.5
435,Luba,3.4568,8.5547,80.2,80.2,80,100,8.08
436,Oruzgan,32.8333,66.0,61.79,61.79,60,100,11.01
437,Bam,29.106,58.357,79.83,79.83,21,0,4.7
438,Sayyan,15.1718,44.3244,67.32,67.32,27,5,5.1
439,Tautira,-17.7333,-149.15,79.57,79.57,78,62,7.96
440,Shenjiamen,29.9576,122.298,57.83,57.83,79,97,5.37
441,Karoi,-16.8099,29.6925,61.39,61.39,76,100,5.93
442,Portland,45.5234,-122.6762,51.06,54.19,81,100,11.01
443,Lázaro Cárdenas,17.9583,-102.2,86.23,86.23,39,97,10.67
444,Seoul,37.5683,126.9778,44.42,47.64,79,0,4.61
445,Farafangana,-22.8167,47.8333,73.09,73.09,76,100,7.16
446,Livingston,55.9029,-3.5226,47.17,50.59,77,75,10.36
447,Kahului,20.8947,-156.47,76.6,77.02,78,40,18.41
448,Jishou,28.3167,109.7167,59.04,59.04,73,74,1.97
449,Sur,22.5667,59.5289,89.87,89.87,32,0,9.51
450,Lompoc,34.6391,-120.4579,62.26,74.7,67,0,23.0
451,Poum,-20.2333,164.0167,77.14,77.14,83,4,5.95
452,Carballo,43.213,-8.691,54.81,55.9,84,93,9.75
453,Dingzhou,38.5131,114.9956,53.71,53.71,40,12,6.11
454,Carroll,39.5501,-77.0164,72.81,77.65,47,40,8.99
455,Nanlong,31.3533,106.0631,60.39,60.39,68,49,1.81
456,Chapada dos Guimarães,-15.4606,-55.7497,85.66,85.66,32,65,5.79
457,Pelym,61.0108,61.9978,27.66,27.66,89,8,6.53
458,Fasa,28.9383,53.6482,70.84,70.84,21,0,18.41
459,Tete,-16.1564,33.5867,71.69,71.69,73,40,4.61
460,Aykhal,66.0,111.5,11.84,11.84,99,86,4.85
461,Pangai,-19.8,-174.35,79.81,79.81,78,81,18.37
462,Dukat,62.55,155.55,24.55,24.55,93,100,3.15
463,Camacha,33.0833,-16.3333,62.02,62.02,72,75,16.11
464,Itarema,-2.9248,-39.9167,81.09,81.09,85,100,10.56
465,Dilla,6.41,38.31,62.65,62.65,94,97,3.36
466,Cap Malheureux,-19.9842,57.6142,75.47,75.47,77,2,3.0
467,Itupiranga,-5.1347,-49.3267,91.72,91.72,75,100,3.09
468,Matina,10.0761,-83.2895,85.87,85.87,77,100,6.08
469,Chunoyar,57.4467,97.3217,48.67,48.67,93,100,13.82
470,Bahir Dar,11.5936,37.3908,68.72,68.72,66,89,1.74
471,Sulangan,11.1373,123.7228,81.77,81.77,78,100,12.01
472,Olinda,-8.0089,-34.8553,83.93,83.93,74,40,11.5
474,Bouar,5.934,15.596,69.08,69.08,85,79,2.62
475,Formosa do Rio Preto,-11.0483,-45.1931,90.97,90.97,29,85,5.06
476,Prado,-17.3411,-39.2208,80.17,80.17,68,0,8.93
478,Al Bardīyah,31.7561,25.0865,67.32,67.32,72,0,16.62
479,Constitución,-35.3333,-72.4167,61.09,61.09,54,0,14.34
480,Guerrero Negro,27.9769,-114.0611,66.43,66.43,56,2,14.18
481,Iquitos,-3.7481,-73.2472,87.84,87.84,66,40,6.91
483,Montgomery,39.1501,-77.1997,76.6,79.84,46,20,6.91
484,Oriximiná,-1.7656,-55.8661,82.6,82.6,71,96,3.36
485,Valday,57.9747,33.2525,41.76,41.76,82,100,7.76
486,Shelburne,44.0787,-80.2041,46.44,49.12,95,100,9.69
487,Selenginsk,52.0064,106.8647,45.01,45.01,70,82,1.32
488,Saint-François,46.4154,3.9054,56.64,57.67,67,0,6.91
489,Kununurra,-15.7667,128.7333,67.98,67.98,88,0,0.0
490,Korla,41.7597,86.1469,65.55,65.55,21,0,4.79
491,Beyneu,45.3167,55.2,66.56,66.56,32,85,14.61
492,Colares,38.7992,-9.4469,58.87,60.76,68,40,24.0
493,Milton,34.1322,-84.3007,84.74,88.77,45,6,1.99
494,Vanimo,-2.6741,141.3028,77.54,77.54,88,95,2.8
495,Mahon,39.8885,4.2658,61.36,61.36,82,0,5.75
496,Arivonimamo,-19.0167,47.1833,60.85,60.85,89,99,7.25
497,Lanxi,29.2195,119.477,58.23,58.23,83,100,1.79
498,Berezovyy,51.6667,135.7,30.69,30.69,96,100,1.41
499,Okha,53.5739,142.9478,30.9,30.9,98,100,11.05
500,Dubbo,-32.25,148.6167,51.93,51.93,93,0,8.05
501,Jining,35.405,116.5814,54.32,54.32,58,0,7.36
502,Arrondissement de Castres,43.5833,2.1667,61.02,61.43,72,0,8.05
503,Baykit,61.67,96.37,31.1,31.1,96,100,10.58
504,Torrington,41.8007,-73.1212,55.76,58.98,75,100,5.01
506,Talnakh,69.4865,88.3972,8.4,8.4,99,100,2.66
507,Sørkjosen,69.8,20.9333,32.0,32.0,74,100,27.63
508,Byron Bay,-28.65,153.6167,59.94,59.94,84,94,9.86
509,Talcahuano,-36.7167,-73.1167,62.28,62.28,59,0,11.5
510,Nara,34.6851,135.8049,48.07,48.49,71,17,1.3
511,Vrangel',42.7297,133.0839,42.58,42.58,76,100,5.1
512,Roald,62.5833,6.1333,41.31,44.76,75,40,8.05
514,San Jose,37.3394,-121.895,60.53,64.87,69,100,12.66
515,Nelson Bay,-32.7167,152.15,53.71,55.99,95,0,4.16
516,Toba,34.4833,136.85,51.1,53.6,81,36,5.01
517,Ponta Delgada,37.7333,-25.6667,63.32,69.49,72,75,11.5
518,Odda,60.0691,6.5457,47.77,47.77,88,73,5.17
519,Havre-St-Pierre,50.2334,-63.5986,44.96,44.96,39,0,6.91
520,Moba,33.2288,105.0179,42.91,42.91,64,0,2.89
521,Nadym,65.5333,72.5167,11.95,11.95,92,18,7.23
522,Fort Nelson,58.8053,-122.7002,47.79,47.79,57,100,13.8
523,Saldanha,-33.0117,17.9442,61.63,61.63,73,100,8.23
524,Nisko,50.5199,22.1397,55.36,59.86,57,47,4.88
525,Payo,-3.7508,103.6372,73.35,73.35,98,100,1.86
526,Wana,32.2989,69.5725,77.09,77.09,26,93,5.46
528,Jizan,17.3333,42.6667,88.74,88.74,65,10,4.27
529,Verkhoyansk,67.5447,133.385,18.25,18.25,96,100,6.98
530,Jaleshwar,26.6471,85.8008,80.56,80.56,56,49,10.69
531,Tezpur,26.6333,92.8,72.27,72.27,79,97,3.04
532,Vanavara,60.34,102.2797,28.76,28.76,94,100,16.6
533,Pedersore,63.65,22.6833,37.92,37.99,62,85,3.0
534,Ceres,37.5949,-120.9577,67.86,73.72,45,0,14.97
535,Plettenberg Bay,-34.0527,23.3716,66.56,66.56,55,69,3.02
536,Baharly,38.4362,57.4316,65.03,65.03,82,100,3.2
537,Fare,-16.7,-151.0167,80.44,80.44,75,92,7.74
538,Kissidougou,9.1848,-10.0999,72.66,72.66,89,100,8.68
539,Kīhei,20.785,-156.4656,76.35,77.02,81,40,18.41
540,Simbahan,6.3032,120.5836,82.92,82.92,73,100,1.28
541,Esim,4.8699,-2.2405,80.89,80.89,80,100,7.58
